BUID,NAME,ABBREV,prodid,prodDescription,price1,price2,unitCost,productTypeID,TYPEDESCRIPTION,Source
A,Processing Equipment,Equipment,18,Allis Polishing Equipmentment    ,201.8,176.3,112,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,7,Bandage Manufacturing Equipment  ,298,267,234,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,31,Bellowing Polishing Equipmentment,502.6,451.3,400,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,35,Birthdays Manufacturing Equipment,196.6,173.2,115,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,43,Bomber Photo Equipmentment       ,461.3,400.4,336,1,Photo Equipmentment           ,PEC
A,Processing Equipment,Equipment,8,Chalmers Polishing Equipmentment ,289.2,242.6,215,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,12,Chromium Photo Equipmentment     ,565.5,457.5,326,1,Photo Equipmentment           ,PEC
A,Processing Equipment,Equipment,42,Concentrators Polishing Equipment,584.6,524.9,472,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,20,Courthouses Manufacturing Equipme,285.6,243.6,182,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,6,Denigrating Polishing Equipmentme,566,454.5,402,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,39,Disallow Manufacturing Equipment ,165.2,145.9,97,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,36,Duplicator Polishing Equipmentmen,544.3,465.4,409,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,1,Enumerator Polishing Equipmentmen,165,142.5,120,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,37,Escape Manufacturing Equipment   ,584.4,523.6,463,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,22,Extinguisher Manufacturing Equipm,120.4,98.4,65,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,5,Flake Photo Equipmentment        ,232.3,204.4,170,1,Photo Equipmentment           ,PEC
A,Processing Equipment,Equipment,19,Habitually Manufacturing Equipmen,509.3,419.1,354,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,16,Insensitivity Manufacturing Equip,200.7,180.4,117,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,24,Loaves Polishing Equipmentment   ,425.6,361.3,241,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,4,Miniaturizing Manufacturing Equip,456.2,379.6,325,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,23,Occlusion Manufacturing Equipment,199.9,177.3,72,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,28,Palm Polishing Equipmentment     ,122.4,105.4,87,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,33,Pervasively Manufacturing Equipme,374.1,334.9,303,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,2,Planetesimal Manufacturing Equipm,347.3,307,250,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,11,Sailors Manufacturing Equipment  ,340.5,290.4,235,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,34,Septembers Manufacturing Equipmen,584.3,523,217,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,26,Simulations Photo Equipmentment  ,318.4,255.7,193,1,Photo Equipmentment           ,PEC
A,Processing Equipment,Equipment,40,Subclasses Polishing Equipmentmen,282.5,239,210,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,30,Suing Manufacturing Equipment    ,482.2,426.7,329,2,Manufacturing Equipment       ,PEC
A,Processing Equipment,Equipment,15,Syntax Polishing Equipmentment   ,226.7,190.9,123,3,Polishing Equipmentment       ,PEC
A,Processing Equipment,Equipment,27,Vastest Photo Equipmentment      ,498.1,442.3,294,1,Photo Equipmentment           ,PEC
A,Processing Equipment,Equipment,21,Weeks Polishing Equipmentment    ,198.8,174.2,151,3,Polishing Equipmentment       ,PEC
B,Disposable Supplies ,Supply   ,9,Defeated Tray Supplies           ,559.7,476.9,448.3,8,Tray Supplies                 ,PEC
B,Disposable Supplies ,Supply   ,32,Embodying Cleaning Supplies      ,250.9,213.5,207.1,5,Cleaning Supplies             ,PEC
C,Chemicals           ,Chemical ,10,Chartable Photo Equipmentment    ,410.2,347.4,295,9,Photo Chemicals               ,PEC
C,Chemicals           ,Chemical ,29,Millimeters Flushing Chemicals   ,295.6,251.8,241.8,10,Flushing Chemicals            ,PEC
C,Chemicals           ,Chemical ,14,Travelings Photo Chemicals       ,274.4,242,225.1,9,Photo Chemicals               ,PEC
D,Miscellaneous       ,         ,25,Automobiles Fillers              ,283.8,227.6,218.5,12,Fillers                       ,PEC
D,Miscellaneous       ,         ,38,Commendation Fillers             ,436.3,380,364.8,12,Fillers                       ,PEC
D,Miscellaneous       ,         ,13,Coward Covers                    ,429.8,349,328.1,13,Covers                        ,PEC
D,Miscellaneous       ,         ,17,Sortie Covers                    ,248.2,213.2,206.8,13,Covers                        ,PEC
D,Miscellaneous       ,         ,41,Sulkiness Covers                 ,354.3,289.8,272.4,13,Covers                        ,PEC
D,Miscellaneous       ,         ,3,Tailor Jacks                     ,509.8,429.7,399.7,15,Jacks                         ,PEC
