invoiceID,custID,salesDate
1,25,4/30/2005
2,23,10/9/2006
3,1,12/1/2010
4,5,5/15/2009
5,16,8/13/2010
6,18,8/21/2010
7,9,12/22/2010
8,9,1/15/2008
9,30,10/27/2009
10,13,7/29/2011
11,3,5/13/2011
12,22,9/22/2005
13,16,5/16/2006
14,2,10/28/2007
15,18,11/5/2010
16,11,1/6/2006
17,2,11/14/2010
18,29,1/13/2010
19,27,3/19/2008
20,2,8/13/2011
21,5,4/27/2007
22,8,10/25/2008
23,27,8/28/2009
24,23,5/24/2009
25,1,8/13/2008
26,26,10/3/2006
27,14,4/4/2007
28,19,2/15/2007
29,10,5/8/2008
30,7,10/16/2008
31,20,7/8/2010
32,34,4/15/2010
33,29,7/23/2009
34,20,9/29/2011
35,39,6/27/2006
36,6,1/8/2008
37,38,4/30/2011
38,8,2/27/2007
39,15,12/21/2010
40,28,3/2/2010
41,21,6/27/2005
42,17,5/25/2011
43,10,2/23/2007
44,36,10/6/2008
45,18,9/16/2010
46,27,9/15/2007
47,8,10/31/2010
48,20,4/17/2011
49,16,9/17/2005
50,34,6/4/2005
51,21,4/1/2005
52,21,6/3/2010
53,3,11/9/2006
54,8,5/26/2011
55,4,3/13/2010
56,3,4/22/2010
57,34,6/23/2010
58,17,3/3/2010
59,22,12/15/2007
60,4,7/17/2009
61,24,8/5/2005
62,2,8/10/2007
63,38,9/29/2008
64,14,3/16/2006
65,22,4/29/2009
66,38,10/22/2011
67,19,5/11/2009
68,20,10/12/2011
69,6,2/4/2005
70,33,6/17/2005
71,8,9/4/2009
72,26,6/10/2009
73,11,3/16/2007
74,18,7/14/2009
75,23,10/5/2010
76,29,11/1/2008
77,6,12/25/2005
78,30,11/13/2006
79,9,8/12/2007
80,22,11/8/2009
81,25,7/30/2010
82,30,12/13/2007
83,3,4/10/2008
84,27,11/13/2005
85,38,3/3/2005
86,7,6/2/2010
87,30,2/3/2008
88,32,11/14/2007
89,24,10/4/2006
90,12,12/3/2005
91,36,10/26/2005
92,8,7/9/2006
93,13,7/30/2008
94,34,1/8/2006
95,21,8/1/2008
96,34,2/1/2008
97,32,3/20/2007
98,1,6/17/2010
99,14,9/5/2008
100,38,4/6/2005
101,34,3/27/2009
102,22,12/11/2006
103,24,10/29/2011
104,6,12/10/2010
105,1,1/7/2005
106,8,5/15/2010
107,34,3/26/2007
108,7,2/4/2009
109,38,9/20/2010
110,4,6/12/2008
