invoiceID,prodID,amt,qty,discounted
11,1,2565.54,18,1
20,1,329.94,2,0
28,1,2309.58,14,0
35,1,824.85,5,0
43,1,3299.4,20,0
46,1,2969.46,18,0
50,1,2969.46,18,0
67,1,824.85,5,0
70,1,2309.58,14,0
106,1,1154.79,7,0
110,1,2969.46,28,0
113,1,2144.61,13,0
115,1,3134.43,19,0
131,1,1319.76,8,0
134,1,1154.79,7,0
138,1,2144.61,13,0
139,1,329.94,2,0
153,1,2474.55,15,0
158,1,329.94,2,0
163,1,2309.58,14,0
164,1,2144.61,13,0
167,1,2804.49,17,0
185,1,2969.46,18,0
200,1,1154.79,7,0
247,1,2639.52,26,0
249,1,2639.52,16,0
263,1,3134.43,19,0
271,1,1979.64,12,0
295,1,1319.76,8,0
297,1,1319.76,8,0
298,1,989.82,6,0
333,1,659.88,4,0
351,1,1814.67,11,0
359,1,989.82,6,0
368,1,989.82,6,0
373,1,3134.43,19,0
374,1,659.88,4,0
378,1,2144.61,13,0
379,1,494.91,3,0
390,1,2639.52,16,0
399,1,1319.76,8,0
401,1,2969.46,18,0
408,1,989.82,6,0
419,1,2969.46,18,0
427,1,329.94,2,0
444,1,1979.64,12,0
445,1,329.94,2,0
448,1,3299.4,20,0
449,1,1484.73,9,0
472,1,2309.58,14,0
492,1,3299.4,20,0
513,1,1814.67,11,0
521,1,1319.76,8,0
531,1,2804.49,17,0
542,1,2309.58,14,0
560,1,329.94,2,0
593,1,1319.76,8,0
607,1,2474.55,15,0
620,1,1979.64,12,0
624,1,1979.64,12,0
632,1,989.82,6,0
649,1,2969.46,18,0
662,1,1814.67,11,0
664,1,2969.46,18,0
672,1,2804.49,17,0
683,1,2474.55,15,0
706,1,2639.52,16,0
722,1,1649.7,10,0
746,1,1154.79,7,0
762,1,2639.52,16,0
766,1,989.82,6,0
789,1,494.91,3,0
790,1,1649.7,10,0
813,1,2969.46,18,0
818,1,2144.61,13,0
823,1,659.88,4,0
825,1,1484.73,9,0
827,1,989.82,6,0
866,1,2309.58,14,0
872,1,1814.67,11,0
899,1,494.91,3,0
903,1,989.82,6,0
910,1,3134.43,19,0
933,1,1814.67,11,0
935,1,659.88,4,0
941,1,3134.43,19,0
962,1,329.94,2,0
966,1,3299.4,20,0
971,1,1319.76,8,0
1002,1,2639.52,16,0
1004,1,3299.4,20,0
1022,1,2309.58,14,0
1027,1,989.82,6,0
1052,1,2309.58,14,0
1055,1,329.94,2,0
1068,1,2309.58,14,0
1085,1,1649.7,10,0
1095,1,3134.43,19,0
1112,1,2639.52,16,0
1116,1,2969.46,18,0
1117,1,3299.4,20,0
1139,1,824.85,5,0
1147,1,2639.52,16,0
1156,1,1319.76,8,0
1157,1,1814.67,11,0
1164,1,2309.58,14,0
1165,1,3299.4,20,0
1166,1,2969.46,18,0
1175,1,824.85,5,0
1184,1,2474.55,15,0
1194,1,1649.7,10,0
1195,1,1319.76,8,0
1227,1,2144.61,13,0
1228,1,2639.52,16,0
1231,1,1649.7,10,0
1245,1,1649.7,10,0
1253,1,1649.7,10,0
1254,1,2639.52,16,0
1257,1,2969.46,18,0
1261,1,2639.52,16,0
1262,1,329.94,2,0
1264,1,2804.49,17,0
1266,1,2804.49,17,0
1282,1,1814.67,11,0
1283,1,659.88,4,0
1286,1,989.82,6,0
1289,1,1814.67,11,0
1295,1,329.94,2,0
1296,1,2804.49,17,0
1322,1,2969.46,18,0
1327,1,2969.46,18,0
1343,1,659.88,4,0
1344,1,1814.67,11,0
1349,1,3134.43,19,0
1363,1,1649.7,10,0
1387,1,2144.61,13,0
1414,1,2474.55,15,0
1425,1,1154.79,7,0
1426,1,2309.58,14,0
1444,1,1979.64,12,0
1463,1,1979.64,12,0
1466,1,2309.58,14,0
1471,1,659.88,4,0
1494,1,2309.58,14,0
1495,1,329.94,2,0
1523,1,1814.67,11,0
1532,1,494.91,3,0
1547,1,2309.58,14,0
1548,1,2804.49,17,0
1549,1,2969.46,18,0
1563,1,2804.49,17,0
1591,1,2969.46,18,0
1594,1,3299.4,20,0
1596,1,1979.64,12,0
1599,1,2474.55,15,0
1611,1,2144.61,13,0
1626,1,2144.61,13,0
1642,1,1484.73,9,0
1643,1,3299.4,20,0
1647,1,494.91,3,0
1651,1,659.88,4,0
1674,1,2969.46,18,0
1680,1,1484.73,9,0
1708,1,494.91,3,0
1709,1,1979.64,12,0
1710,1,1154.79,7,0
1726,1,1154.79,7,0
1734,1,3134.43,19,0
1747,1,1154.79,7,0
1756,1,2474.55,15,0
1763,1,2309.58,14,0
1770,1,1649.7,10,0
1772,1,1484.73,9,0
1779,1,1484.73,9,0
1781,1,1979.64,12,0
1783,1,2309.58,14,0
1785,1,2969.46,18,0
1790,1,1154.79,7,0
1806,1,2309.58,14,0
1816,1,1319.76,8,0
1817,1,1484.73,9,0
1819,1,824.85,5,0
1823,1,2474.55,15,0
1825,1,1649.7,10,0
1826,1,2309.58,14,0
1828,1,1319.76,8,0
1832,1,2969.46,18,0
1837,1,2969.46,18,0
1856,1,2639.52,16,0
1861,1,1319.76,8,0
1866,1,494.91,3,0
1871,1,1484.73,9,0
1882,1,1649.7,10,0
