BUID,NAME,ABBREV,prodid,prodDescription,price1,price2,unitCost,productTypeID,TYPEDESCRIPTION,Source
A,Processing Equipment,Equipment,56,Allis Polishing Equipmentment    ,201.8,176.3,160.5,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,93,Bellowing Polishing Equipmentment,502.6,451.3,446.8,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,44,Birthdays Manufacturing Equipment,196.6,173.2,161.1,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,25,Chalmers Polishing Equipmentment ,289.2,242.6,223.2,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,35,Chromium Photo Equipmentment     ,565.5,457.5,425.5,1,Photo Equipmentment           ,TPCW
A,Processing Equipment,Equipment,37,Concentrators Polishing Equipment,584.6,524.9,482.9,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,61,Courthouses Manufacturing Equipme,285.6,243.6,231.4,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,85,Disallow Manufacturing Equipment ,165.2,145.9,144.4,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,1,Enumerator Polishing Equipmentmen,165,142.5,135.4,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,20,Flake Photo Equipmentment        ,232.3,204.4,194.2,1,Photo Equipmentment           ,TPCW
A,Processing Equipment,Equipment,68,Loaves Polishing Equipmentment   ,425.6,361.3,354.1,3,Polishing Equipmentment       ,TPCW
A,Processing Equipment,Equipment,18,Miniaturizing Manufacturing Equip,456.2,379.6,353,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,67,Occlusion Manufacturing Equipment,199.9,177.3,164.9,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,100,Pervasively Manufacturing Equipme,374.1,334.9,308.1,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,6,Planetesimal Manufacturing Equipm,347.3,307,285.5,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,34,Sailors Manufacturing Equipment  ,340.5,290.4,278.8,2,Manufacturing Equipment       ,TPCW
A,Processing Equipment,Equipment,71,Simulations Photo Equipmentment  ,318.4,255.7,245.4,1,Photo Equipmentment           ,TPCW
B,Disposable Supplies ,Supply   ,72,Anthem Tray Supplies             ,134.9,112.4,109,8,Tray Supplies                 ,TPCW
