invoice,custID,prodID,salesDate,amt,qty,discounted
1,28,81,12/31/2008,151,102,0
2,28,7,12/31/2009,294,38,0
3,10,79,5/24/2007,139,189,0
4,10,18,5/24/2006,189,192,0
4,10,39,5/24/2006,203,21,0
4,10,61,5/24/2006,380,95,0
5,6,56,6/30/2005,138,187,0
6,31,68,3/4/2009,389,137,0
7,6,42,6/30/2006,259,112,0
8,31,11,3/4/2006,122,57,0
8,31,101,3/4/2006,209,102,0
9,17,3,6/26/2010,241,121,0
9,17,91,6/26/2010,317,127,0
10,28,2,12/31/2005,102,63,0
10,28,96,12/31/2005,291,188,0
10,28,91,12/31/2005,139,41,0
10,28,16,12/31/2005,163,115,0
11,23,104,7/6/2007,142,157,0
12,31,74,3/7/2010,286,111,0
13,40,63,3/13/2006,256,65,0
14,40,47,3/13/2007,215,54,0
14,40,86,3/13/2007,333,113,0
15,25,90,5/20/2005,190,21,0
16,25,65,5/20/2006,372,182,0
17,25,101,5/20/2008,244,152,0
17,25,16,5/20/2008,288,167,0
18,34,1,5/13/2010,323,117,0
18,34,17,5/13/2010,311,42,0
19,36,36,1/20/2009,220,126,1
20,36,34,1/20/2008,212,21,1
20,36,65,1/20/2008,157,52,0
21,19,29,2/27/2009,337,17,0
21,19,46,2/27/2009,226,191,0
21,19,77,2/27/2009,127,10,0
22,20,40,9/19/2009,161,145,1
22,20,13,9/19/2009,318,71,1
23,4,56,5/15/2005,168,195,0
23,4,23,5/15/2005,219,187,0
24,36,87,1/20/2005,240,35,0
25,25,7,9/5/2010,317,17,0
25,25,54,9/5/2010,301,23,0
25,25,17,9/5/2010,139,200,0
26,19,90,10/29/2010,285,139,0
26,19,29,10/29/2010,194,173,0
26,19,52,10/29/2010,328,29,0
27,36,64,1/20/2006,190,157,0
28,24,105,7/9/2007,200,152,0
29,36,36,5/23/2005,331,196,0
30,21,104,10/18/2007,349,110,0
30,21,94,10/18/2007,319,35,0
31,21,46,10/18/2005,144,112,1
32,20,5,4/19/2009,384,14,0
33,21,72,10/18/2008,113,156,0
34,21,9,10/18/2009,392,177,0
34,21,18,10/18/2009,183,106,0
35,20,104,4/19/2008,367,176,0
36,33,35,7/2/2008,266,178,0
37,24,7,2/17/2010,180,179,0
37,24,4,2/17/2010,148,156,0
38,12,71,1/25/2010,172,154,0
38,12,29,1/25/2010,329,57,0
38,12,34,1/25/2010,136,69,0
39,9,59,1/3/2010,341,85,0
40,8,66,7/3/2010,323,49,0
40,8,69,7/3/2010,267,81,0
41,18,35,11/14/2005,222,191,1
41,18,97,11/14/2005,225,63,1
42,8,18,12/26/2006,112,200,0
43,18,18,11/14/2007,319,165,0
43,18,73,11/14/2007,178,147,0
44,10,24,5/24/2008,350,101,0
44,10,69,5/24/2008,213,94,0
45,11,93,8/19/2005,344,61,0
45,11,58,8/19/2005,320,23,0
46,26,63,12/4/2007,158,133,0
46,26,70,12/4/2007,327,98,0
46,26,10,12/4/2007,116,60,0
47,37,19,8/26/2009,284,165,0
47,37,49,8/26/2009,239,125,0
47,37,13,8/26/2009,326,14,0
47,37,71,8/26/2009,124,171,0
48,23,43,5/15/2008,377,14,0
48,23,40,5/15/2008,282,151,0
49,21,91,8/1/2005,210,40,0
49,21,12,8/1/2005,332,12,0
50,21,72,8/1/2007,271,31,0
51,21,8,8/1/2006,244,190,0
51,21,80,8/1/2006,147,151,0
52,34,64,6/14/2010,199,135,0
53,21,105,8/1/2008,248,187,0
54,28,12,12/31/2007,329,10,0
55,23,102,5/15/2007,172,20,0
56,11,17,8/19/2008,323,182,0
57,37,5,8/26/2005,263,136,0
57,37,24,8/26/2005,370,75,0
57,37,96,8/26/2005,295,120,0
58,3,41,8/1/2007,394,117,0
59,12,105,4/3/2007,364,121,0
60,34,44,7/4/2010,132,38,0
61,10,45,8/7/2010,211,172,0
61,10,15,8/7/2010,226,64,0
61,10,93,8/7/2010,223,111,0
61,10,51,8/7/2010,397,141,0
62,25,66,6/14/2007,319,189,0
63,25,81,6/14/2006,243,131,0
64,34,49,5/25/2010,342,133,0
64,34,63,5/25/2010,199,169,0
64,34,43,5/25/2010,230,155,0
64,34,38,5/25/2010,333,183,0
65,5,7,9/15/2010,259,53,0
66,33,30,7/2/2006,383,167,0
67,15,63,4/10/2006,190,79,0
67,15,38,4/10/2006,202,125,0
68,15,86,4/10/2007,168,75,0
68,15,67,4/10/2007,373,159,0
69,15,45,4/10/2008,142,56,0
70,15,53,4/10/2009,328,104,0
71,27,100,7/18/2006,352,118,0
71,27,16,7/18/2006,174,100,0
72,33,21,7/2/2007,163,96,0
73,27,49,12/25/2006,354,145,0
74,38,79,7/15/2009,378,138,0
75,21,68,7/24/2005,140,52,0
76,38,62,7/15/2007,307,57,0
76,38,69,7/15/2007,358,54,0
77,38,21,7/15/2006,245,132,0
78,10,27,7/3/2010,116,147,0
79,25,88,9/25/2005,258,36,0
80,25,31,9/25/2006,275,105,0
81,25,91,9/25/2007,152,119,0
82,25,69,9/25/2009,252,141,0
83,7,30,5/10/2005,301,40,0
84,20,20,5/23/2008,219,196,0
85,33,12,5/24/2010,379,145,0
85,33,17,5/24/2010,317,81,0
86,29,103,5/12/2005,168,25,0
87,1,15,4/22/2006,151,48,0
88,36,22,11/1/2006,215,140,0
88,36,58,11/1/2006,145,133,0
89,36,99,11/1/2005,337,172,0
89,36,82,11/1/2005,179,147,0
90,8,100,3/27/2008,109,181,0
91,8,98,3/27/2009,156,152,0
92,40,33,5/15/2006,297,67,0
92,40,39,5/15/2006,359,69,0
92,40,59,5/15/2006,311,47,0
93,40,33,5/15/2007,296,105,0
93,40,17,5/15/2007,173,148,0
93,40,26,5/15/2007,123,191,1
94,40,62,5/15/2008,171,107,1
94,40,20,5/15/2008,395,186,1
95,40,96,5/15/2009,344,50,1
95,40,95,5/15/2009,296,179,1
96,8,8,3/27/2006,371,108,0
97,8,52,3/27/2007,393,15,0
97,8,78,3/27/2007,192,99,0
98,38,19,12/29/2006,260,192,0
98,38,28,12/29/2006,384,192,0
98,38,37,12/29/2006,346,68,0
99,13,93,9/15/2006,310,181,0
100,38,2,12/29/2005,167,121,0
101,34,8,4/5/2009,347,193,0
101,34,35,4/5/2009,102,113,0
102,10,84,4/26/2005,193,65,0
102,10,23,4/26/2005,385,29,0
103,10,74,4/26/2006,139,78,0
104,10,3,4/26/2008,299,73,0
104,10,51,4/26/2008,332,31,0
105,24,43,2/29/2008,266,37,0
106,12,93,7/23/2010,319,32,0
107,35,14,4/30/2010,261,83,0
107,35,34,4/30/2010,383,104,0
108,36,80,1/20/2007,261,64,0
109,38,50,4/16/2007,289,134,0
110,30,10,8/13/2006,298,163,0
111,30,84,8/13/2007,197,95,0
111,30,90,8/13/2007,266,139,0
112,15,51,1/1/2006,390,61,0
112,15,102,1/1/2006,327,152,0
112,15,7,1/1/2006,111,94,0
113,18,12,2/17/2008,371,32,0
113,18,55,2/17/2008,253,140,0
114,11,21,5/3/2009,353,56,0
114,11,2,5/3/2009,246,163,0
114,11,69,5/3/2009,279,177,0
115,11,36,5/3/2008,309,24,0
115,11,48,5/3/2008,133,135,0
116,11,56,5/3/2006,148,98,0
117,30,8,12/4/2006,344,49,0
117,30,29,12/4/2006,294,41,0
118,15,96,1/1/2009,390,117,0
119,15,42,1/1/2008,148,24,0
119,15,20,1/1/2008,304,31,0
120,17,86,6/29/2010,332,198,0
121,23,47,1/15/2007,356,109,0
121,23,81,1/15/2007,400,188,0
121,23,102,1/15/2007,129,65,0
122,23,8,1/15/2005,253,58,0
123,12,32,10/19/2005,192,176,0
123,12,45,10/19/2005,112,14,0
124,12,7,10/19/2006,242,46,0
124,12,65,10/19/2006,178,33,0
125,12,56,10/19/2009,278,119,0
125,12,28,10/19/2009,148,147,0
125,12,84,10/19/2009,158,136,0
125,12,20,10/19/2009,228,64,0
126,12,42,10/19/2008,210,200,0
127,23,55,1/15/2009,138,97,0
128,22,95,3/13/2010,397,101,0
129,29,102,9/2/2009,149,95,0
130,16,99,3/28/2008,369,46,0
131,25,102,11/30/2006,183,71,0
132,10,75,10/25/2008,381,93,0
132,10,39,10/25/2008,173,118,0
133,10,80,10/25/2009,371,161,0
133,10,57,10/25/2009,303,47,0
133,10,54,10/25/2009,221,137,0
134,10,4,10/25/2007,270,135,0
134,10,102,10/25/2007,149,145,0
135,25,85,11/30/2008,350,107,0
136,16,60,3/28/2005,137,124,0
137,29,77,9/2/2007,215,119,0
137,29,32,9/2/2007,163,97,0
138,16,17,3/28/2006,237,36,0
138,16,82,3/28/2006,395,129,0
138,16,93,3/28/2006,340,108,0
138,16,38,3/28/2006,311,173,0
139,28,100,5/13/2010,343,46,0
140,34,59,1/19/2007,348,22,0
141,14,50,8/21/2007,109,165,0
142,34,35,1/19/2006,392,115,0
143,27,54,12/8/2005,383,146,0
143,27,27,12/8/2005,171,75,0
143,27,47,12/8/2005,281,52,0
143,27,81,12/8/2005,334,184,0
144,29,30,5/29/2005,189,43,0
145,29,103,5/29/2006,112,86,0
146,27,73,12/8/2006,383,190,0
146,27,26,12/8/2006,185,44,0
146,27,105,12/8/2006,215,183,0
147,15,46,8/10/2008,309,192,0
148,34,45,1/19/2005,322,33,0
148,34,81,1/19/2005,255,200,0
149,12,56,9/19/2009,154,92,0
150,15,16,8/10/2005,312,47,0
150,15,12,8/10/2005,196,72,0
151,12,75,9/19/2005,143,123,0
152,15,84,8/10/2007,367,72,0
152,15,50,8/10/2007,179,161,0
152,15,105,8/10/2007,252,118,0
153,37,8,9/10/2007,142,11,0
154,37,94,9/10/2006,202,104,0
154,37,23,9/10/2006,234,80,0
155,33,65,5/26/2005,308,186,0
156,33,98,5/26/2006,114,195,0
157,33,16,5/26/2007,126,199,0
157,33,77,5/26/2007,142,37,0
157,33,60,5/26/2007,173,19,0
158,11,84,9/26/2009,355,173,0
159,20,93,3/10/2009,248,29,0
160,33,87,5/26/2009,237,182,0
160,33,23,5/26/2009,184,87,0
161,34,31,1/19/2008,283,133,0
161,34,1,1/19/2008,237,191,0
162,5,59,9/28/2010,292,166,0
163,32,8,5/31/2010,298,54,0
164,8,51,12/26/2009,212,90,0
165,12,81,9/20/2010,287,179,0
166,39,25,11/27/2006,215,144,0
166,39,60,11/27/2006,276,49,0
166,39,52,11/27/2006,154,32,0
